q_month,q_total_count,q_with_a_in7days,q_with_a_in7days_rate
2010-01-01,45154,42484,0.9408690259999114
2010-02-01,45005,41893,0.93085212754138424
2010-03-01,52475,48441,0.92312529776083851
2010-04-01,50273,45995,0.91490462077059254
2010-05-01,52233,47752,0.914211322344112
2010-06-01,56030,50938,0.90912011422452255
2010-07-01,61134,55636,0.91006641148951484
2010-08-01,63957,58054,0.90770361336522976
2010-09-01,61503,55633,0.90455750126010115
2010-10-01,64092,57901,0.90340448105847848
2010-11-01,70011,63992,0.914027795632115
2010-12-01,69917,63509,0.90834847032910448
2011-01-01,80362,73282,0.91189865856997088
2011-02-01,83401,75503,0.90530089567271377
2011-03-01,101577,92463,0.91027496382055
2011-04-01,96184,87191,0.90650212093487481
2011-05-01,101021,90985,0.90065431939893681
2011-06-01,99864,89558,0.896799647520628
2011-07-01,101454,90788,0.89486861040471544
2011-08-01,108039,96550,0.893658771369598
2011-09-01,102968,91179,0.88550811902727056
2011-10-01,102293,90153,0.88132130253292018
2011-11-01,109881,97196,0.88455692976947786
2011-12-01,104625,92500,0.88410991636798086
2012-01-01,117220,103632,0.88408121480975943
2012-02-01,125054,110323,0.88220288835223182
2012-03-01,135055,118614,0.8782644107956018
2012-04-01,130166,114230,0.87757171611634377
2012-05-01,135766,118563,0.8732893360635211
2012-06-01,131996,115392,0.87420830934270732
2012-07-01,143332,125068,0.87257555884240778
2012-08-01,142635,124187,0.87066288077961229
2012-09-01,133405,114491,0.85822120610172037
2012-10-01,151315,129741,0.8574232561213363
2012-11-01,149468,127327,0.85186795835897988
2012-12-01,136528,117338,0.85944275166998707
2013-01-01,159049,136867,0.86053354626561629
2013-02-01,154560,133108,0.86120600414078674
2013-03-01,175327,150108,0.85616020350544986
2013-04-01,173147,147493,0.85183687849053114
2013-05-01,168359,142119,0.84414257628044831
2013-06-01,160210,134632,0.84034704450408837
2013-07-01,178942,149991,0.83821014630438917
2013-08-01,172344,144942,0.84100403843475835
2013-09-01,167574,140083,0.835947103966009
2013-10-01,186525,155876,0.83568422463476744
2013-11-01,178557,148837,0.83355455120773758
2013-12-01,167435,140586,0.83964523546450864
2014-01-01,191296,160622,0.83965163934426235
2014-02-01,190308,158371,0.83218256720684369
2014-03-01,210202,173200,0.82396932474476936
2014-04-01,197069,161271,0.81834788830308169
2014-05-01,178727,145764,0.81556787726532642
2014-06-01,164792,132636,0.80486916840623335
2014-07-01,179505,145054,0.80807776942146459
2014-08-01,165572,133971,0.80914043437296157
2014-09-01,168106,134832,0.80206536352063584
2014-10-01,175057,140169,0.80070491325682491
2014-11-01,168755,135550,0.80323545969008325
2014-12-01,157228,126377,0.803781769150533
2015-01-01,167951,134544,0.801090794338825
2015-02-01,170309,136185,0.79963478148541767
2015-03-01,192006,152586,0.79469391581513082
2015-04-01,191956,154917,0.80704432265727566
2015-05-01,187764,150623,0.80219317867109774
2015-06-01,189879,150769,0.79402672228103155
2015-07-01,197442,156749,0.79389896779813818
2015-08-01,183172,145348,0.79350555761797659
2015-09-01,179566,141834,0.78987113373355755
2015-10-01,188305,148390,0.7880300576192879
2015-11-01,179970,141623,0.78692559871089629
2015-12-01,174217,137848,0.79124310486347482
2016-01-01,182924,145822,0.797172596269489
2016-02-01,190238,150686,0.79209201105983029
2016-03-01,203678,160933,0.79013442787144417
2016-04-01,198712,156977,0.78997242240025767
2016-05-01,191341,150549,0.786809936187226
2016-06-01,186103,144676,0.77739746269538912
2016-07-01,178491,138585,0.77642570213624218
2016-08-01,183368,142265,0.77584420400506082
2016-09-01,173149,134099,0.77447169778629965
2016-10-01,176839,136516,0.77197903177466509
2016-11-01,176786,136159,0.77019107847906509
2016-12-01,163751,126492,0.77246551166099753
2017-01-01,178431,138137,0.77417601201584929
2017-02-01,176789,137488,0.7776954448523381
2017-03-01,203342,157023,0.772211348368758
2017-04-01,180330,138092,0.76577385903621142
2017-05-01,188229,144511,0.767740358818248
2017-06-01,179948,137662,0.76500989174650458
2017-07-01,181444,139658,0.76970304887458385
2017-08-01,179241,137793,0.76875826401325587
2017-09-01,163867,125298,0.76463229326221871
2017-10-01,171797,131361,0.76462918444443151
2017-11-01,170820,129327,0.75709518791710573
2017-12-01,146789,111236,0.75779520263779987
2018-01-01,162059,123087,0.75951968110379553
2018-02-01,154702,117732,0.76102442114516944
2018-03-01,174900,132128,0.75544882790165813
2018-04-01,164188,123826,0.75417204667819815
2018-05-01,169322,126529,0.74726851797167526
2018-06-01,156145,116658,0.74711326011079449
2018-07-01,161307,120999,0.75011623798099281
2018-08-01,160256,121032,0.75524161341853036
2018-09-01,146305,110941,0.75828577287174059
2018-10-01,162523,123174,0.75788657605385079
2018-11-01,151888,113856,0.749604972084694
2018-12-01,134140,100914,0.75230356344118088
2019-01-01,151608,114963,0.758291119202153
2019-02-01,148450,112892,0.760471539238801
2019-03-01,163544,123323,0.75406618402387127
2019-04-01,155800,116847,0.74998074454428754
2019-05-01,153670,114663,0.74616385761697146
2019-06-01,138101,102987,0.74573681580871976
2019-07-01,152921,114286,0.74735320851943166
2019-08-01,138557,105140,0.75882127932908483
2019-09-01,138291,104685,0.75699069353754045
2019-10-01,154341,116127,0.75240538806927515
2019-11-01,150032,113693,0.75779167111016321
2019-12-01,134213,101135,0.75354101316563971
2020-01-01,148616,111745,0.75190423642138127
2020-02-01,147212,110115,0.74800288019998373
2020-03-01,158380,116678,0.73669655259502465
2020-04-01,185803,137669,0.74094067372432093
2020-05-01,201846,141288,0.69997919205731107
2020-06-01,208842,129790,0.62147460759808848
2020-07-01,200623,126008,0.62808351983571176
2020-08-01,178534,113181,0.633946475181198
