month,new_,new_repeat,existing_repeat,reactivated
2010-01-01,19964,0,0,0
2010-02-01,13137,7574,0,0
2010-03-01,13164,3665,4622,2359
2010-04-01,12040,2924,5796,3162
2010-05-01,12031,2464,6202,4227
2010-06-01,12309,2301,6617,5168
2010-07-01,12904,2464,7138,5783
2010-08-01,13260,2607,7763,6510
2010-09-01,11975,2401,8135,6836
2010-10-01,12151,2218,8475,7389
2010-11-01,13406,2280,8992,8166
2010-12-01,13584,2445,9290,7963
2011-01-01,15465,2520,9802,9722
2011-02-01,16681,2967,10761,9926
2011-03-01,20422,3385,11995,11238
2011-04-01,19268,3620,12303,10442
2011-05-01,19660,3467,12592,12193
2011-06-01,19155,3385,13184,12104
2011-07-01,20126,3463,13159,12467
2011-08-01,21129,3683,13689,13919
2011-09-01,19628,3606,13965,14001
2011-10-01,17646,3500,14077,14857
2011-11-01,18439,3917,15065,15885
2011-12-01,17549,3829,15309,15287
2012-01-01,19841,3690,15899,18508
2012-02-01,21529,4249,17324,19241
2012-03-01,23193,4686,18874,20276
2012-04-01,22501,4671,19224,19455
2012-05-01,23013,4573,19110,21637
2012-06-01,22726,4387,19145,21498
2012-07-01,24961,4658,19309,23254
2012-08-01,24246,4894,19849,23754
2012-09-01,23870,4326,19566,23479
2012-10-01,28037,4528,20375,27053
2012-11-01,28391,5316,21367,25839
2012-12-01,25043,4847,20287,24287
2013-01-01,28605,4459,20912,30750
2013-02-01,28333,4975,22347,28611
2013-03-01,33446,5455,23241,32151
2013-04-01,32924,6161,24332,31198
2013-05-01,31825,5539,23892,31426
2013-06-01,30146,5170,22637,30964
2013-07-01,33108,5576,23166,34171
2013-08-01,31306,5985,23923,32341
2013-09-01,31205,5192,23106,34101
2013-10-01,35300,5691,24730,37661
2013-11-01,34242,5962,25405,35182
2013-12-01,31538,5598,24012,33956
2014-01-01,35505,5416,24464,40294
2014-02-01,35243,6207,26474,38564
2014-03-01,38942,6499,28009,42029
2014-04-01,35552,6748,28234,39219
2014-05-01,33024,5559,26153,39193
2014-06-01,31289,5008,23905,38179
2014-07-01,34781,5139,23543,41387
2014-08-01,31411,5488,23584,38228
2014-09-01,31304,4993,23170,42264
2014-10-01,34090,5019,24605,43358
2014-11-01,33449,5470,24494,41117
2014-12-01,30672,4999,23092,39435
2015-01-01,32430,4631,22500,43837
2015-02-01,33328,5106,23769,44004
2015-03-01,38273,5880,25790,47642
2015-04-01,38058,6135,26568,46327
2015-05-01,36021,6038,26325,45664
2015-06-01,36513,5586,26038,46517
2015-07-01,37259,6062,26325,47461
2015-08-01,33665,5923,25877,44761
2015-09-01,33052,5096,25125,46369
2015-10-01,36307,5193,25823,47986
2015-11-01,34235,5743,25919,45595
2015-12-01,33153,5263,24550,44583
2016-01-01,35024,4895,24301,48445
2016-02-01,36262,5404,25765,49932
2016-03-01,38750,6084,27829,52630
2016-04-01,38192,6154,27979,50293
2016-05-01,36012,5881,26930,49809
2016-06-01,35692,5204,25866,49270
2016-07-01,34294,5348,24608,47406
2016-08-01,33745,5359,24700,50284
2016-09-01,32682,4744,24537,48600
2016-10-01,34595,4768,24252,49291
2016-11-01,34380,5018,24451,49567
2016-12-01,32017,4798,22997,46395
2017-01-01,34220,4480,23164,51958
2017-02-01,35193,4978,24292,50328
2017-03-01,41343,5628,25810,56440
2017-04-01,37188,5881,25439,48901
2017-05-01,37712,5367,24411,53660
2017-06-01,36482,5293,24313,50127
2017-07-01,36376,5438,23516,50620
2017-08-01,35243,5327,23535,51267
2017-09-01,32397,4672,22357,48435
2017-10-01,34978,4602,22094,52110
2017-11-01,35512,4957,22449,50904
2017-12-01,29895,4556,20579,44735
2018-01-01,32437,3772,20021,51955
2018-02-01,31620,4275,20690,48437
2018-03-01,36662,4604,21801,54516
2018-04-01,34423,5039,22081,49065
2018-05-01,34961,4609,21649,51984
2018-06-01,32150,4525,20853,47262
2018-07-01,34172,4407,20064,49041
2018-08-01,32812,4720,20275,49454
2018-09-01,29782,4115,19548,45685
2018-10-01,33561,4261,19807,51692
2018-11-01,32064,4472,20279,47213
2018-12-01,28327,3956,18014,42652
2019-01-01,32542,3565,17885,49551
2019-02-01,31826,4170,18894,47012
2019-03-01,35840,4466,19744,51072
2019-04-01,35493,4742,19941,47319
2019-05-01,34246,4438,19118,47656
2019-06-01,30104,3938,17763,43295
2019-07-01,34221,3792,17591,48122
2019-08-01,29761,4130,17475,43965
2019-09-01,30552,3532,16739,45060
2019-10-01,35044,4046,17836,48798
2019-11-01,33593,4575,18680,46270
2019-12-01,29676,3954,17143,42569
2020-01-01,32267,3757,17113,48484
2020-02-01,32354,4086,18254,46764
2020-03-01,35602,4243,18783,50384
2020-04-01,43749,5118,20539,55157
2020-05-01,47608,6411,22771,56682
2020-06-01,48254,6906,24496,58361
2020-07-01,44683,6440,24739,56699
2020-08-01,39436,5591,22933,52471
