month,avg_,median,diff_20pct_tile,diff_80pct_tile
2010-01-01,19835.253060588522,11,3,136
2010-02-01,21866.203901304169,12,3,189
2010-03-01,23556.609585755668,13,4,230
2010-04-01,25640.705495387083,14,4,287
2010-05-01,25992.25563343567,15,4,281
2010-06-01,28450.528469205674,15,4,295
2010-07-01,27010.089451588367,15,4,300
2010-08-01,26896.84831283008,15,4,297
2010-09-01,26630.436899592059,16,4,315
2010-10-01,25751.436147698918,16,4,338
2010-11-01,21124.710688191302,15,4,227
2010-12-01,21668.822008253104,15,4,264
2011-01-01,21176.978437031346,15,4,251
2011-02-01,22948.345290498306,16,4,280
2011-03-01,21154.517477066973,15,4,243
2011-04-01,22508.68520790153,15,4,251
2011-05-01,23663.385801032287,16,4,286
2011-06-01,23319.576068113027,15,4,309
2011-07-01,24547.773127085227,16,4,322
2011-08-01,24367.247305788267,16,4,312
2011-09-01,25010.530021762886,18,4,390
2011-10-01,25503.506848623212,19,4,475
2011-11-01,24850.889805500308,18,4,388
2011-12-01,24092.317198386503,18,4,402
2012-01-01,24235.066635939806,19,4,416
2012-02-01,25441.705741706257,19,4,480
2012-03-01,25311.679257934731,20,4,492
2012-04-01,26129.75503170113,20,4,504
2012-05-01,27274.903035491188,20,4,526
2012-06-01,25708.328384397348,20,4,493
2012-07-01,26944.679032576656,21,4,509
2012-08-01,26089.609863320864,21,4,512
2012-09-01,28267.036137775267,22,4,611
2012-10-01,26998.219213696888,21,4,541
2012-11-01,27321.208273925091,22,4,592
2012-12-01,25103.613933587869,22,4,543
2013-01-01,26222.781415638627,21,4,515
2013-02-01,27418.188889041896,21,4,531
2013-03-01,27007.336304051685,20,4,499
2013-04-01,27001.629232137191,22,4,537
2013-05-01,27689.30214460113,23,5,555
2013-06-01,28529.551910899354,24,5,625
2013-07-01,27586.914798260976,23,5,587
2013-08-01,26747.875617516282,23,5,544
2013-09-01,26306.579156862725,24,5,576
2013-10-01,26930.903389730927,23,5,574
2013-11-01,26681.438646979812,23,5,545
2013-12-01,24927.17333394571,22,5,463
2014-01-01,24614.054545454546,22,5,485
2014-02-01,26510.118389934178,22,5,506
2014-03-01,27840.913869356336,24,5,578
2014-04-01,28510.574630641284,25,5,592
2014-05-01,29006.910262376739,28,6,681
2014-06-01,30337.013862378652,31,6,822
2014-07-01,29039.60626767348,30,6,796
2014-08-01,28117.141533317419,31,6,762
2014-09-01,29021.398462493758,33,6,852
2014-10-01,29047.504407284981,33,6,868
2014-11-01,27204.242107883034,33,6,819
2014-12-01,28179.726581256353,32,6,814
2015-01-01,28375.773162895995,33,6,843
2015-02-01,28444.102515853818,33,7,831
2015-03-01,27452.034048605,34,7,848
2015-04-01,24718.208243349072,32,6,722
2015-05-01,25936.29520632733,32,6,749
2015-06-01,26615.692651334448,34,7,805
2015-07-01,26384.239370934643,34,7,810
2015-08-01,26161.305497375597,34,7,810
2015-09-01,25864.756064925245,35,7,818
2015-10-01,25754.173204392562,34,7,811
2015-11-01,26280.304813319424,35,7,796
2015-12-01,25214.395217168054,36,7,748
2016-01-01,24846.913373619769,35,7,728
2016-02-01,24750.235754306119,35,7,748
2016-03-01,24961.272254603067,35,7,786
2016-04-01,24288.753382609772,35,7,743
2016-05-01,24934.510428121102,38,8,830
2016-06-01,25130.323358560294,39,8,937
2016-07-01,25269.309231216481,39,7,956
2016-08-01,25263.037900837084,40,7,946
2016-09-01,24977.638858367405,41,8,1020
2016-10-01,24296.653604637126,41,8,964
2016-11-01,23936.610951377341,40,8,938
2016-12-01,23572.109649091075,40,8,932
2017-01-01,22853.578914522819,40,8,920
2017-02-01,21921.685098714406,38,7,854
2017-03-01,21980.177535214552,39,7,908
2017-04-01,22048.368670244246,40,8,895
2017-05-01,21651.180192729706,40,8,907
2017-06-01,21601.505776534061,40,8,960
2017-07-01,20233.209691990149,39,8,893
2017-08-01,20152.699036328169,39,7,892
2017-09-01,20332.390908290148,41,8,951
2017-10-01,19839.305601836939,42,8,946
2017-11-01,19401.931737487921,43,8,965
2017-12-01,19819.933093087151,45,8,993
2018-01-01,19251.035079360361,44,8,968
2018-02-01,18753.243028883691,44,8,990
2018-03-01,18471.28655890044,44,8,998
2018-04-01,17800.201469888118,44,8,951
2018-05-01,18125.823687528075,45,8,994
2018-06-01,17758.959537798972,48,9,1083
2018-07-01,17401.281021123024,46,9,1047
2018-08-01,15631.65353112833,46,9,954
2018-09-01,14908.247074317342,47,9,947
2018-10-01,14729.86746780344,45,9,905
2018-11-01,14605.355059853824,49,9,971
2018-12-01,13897.305389112167,49,9,949
2019-01-01,13163.854862750462,48,9,941
2019-02-01,12186.741589496645,46,9,880
2019-03-01,12298.017989186907,46,9,898
2019-04-01,11598.862493048384,47,9,895
2019-05-01,11508.400142387911,50,9,929
2019-06-01,11450.622311840058,52,10,978
2019-07-01,10786.551611805326,52,10,1016
2019-08-01,9758.20420542567,51,10,969
2019-09-01,9088.426186096518,51,10,978
2019-10-01,8308.9323721771743,49,9,953
2019-11-01,7244.5886659435992,50,9,938
2019-12-01,6623.0666703521474,50,9,895
2020-01-01,5756.6741605128082,49,9,888
2020-02-01,5143.3081864560063,49,9,871
2020-03-01,4549.2531939044111,51,9,890
2020-04-01,3647.3435897787394,48,9,825
2020-05-01,2778.7520755604855,46,9,726
2020-06-01,2148.99638304442,46,9,730
2020-07-01,1549.548543059994,46,9,672
2020-08-01,806.8409208643202,42,9,503
