a_count,q_total,q_next_in28days_count,q_next_after29days_count,q_no_repeat_count,q_retention_28days,q_retention_after29days,no_repeat_rate
0,2555264,1012915,766111,776238,0.39640326792065322,0.29981677040024046,0.30377996167910637
1,9946044,4972534,2956497,2017013,0.49995093526632295,0.29725356131543357,0.20279550341824348
2,4184394,2290112,1198777,695505,0.54729836626283279,0.2864876013109664,0.16621403242620078
3,1557099,909588,425753,221758,0.58415553538985,0.27342705890890689,0.14241740570124314
4,602853,368669,157779,76405,0.61154045845338745,0.26172051893247605,0.12673902261413644
5,248174,156593,63346,28235,0.63098068290795972,0.25524833383029649,0.11377098326174377
6,110040,70934,27451,11655,0.64462013813158847,0.24946383133406033,0.10591603053435114
7,53190,34500,13305,5385,0.64861816130851668,0.25014100394811056,0.10124083474337281
8,28148,18426,7002,2720,0.65461134005968458,0.24875657240301266,0.096632087537302833
9,16240,10683,4068,1489,0.65782019704433492,0.2504926108374384,0.0916871921182266
10,10189,6731,2499,959,0.66061438806556094,0.24526450093237806,0.094121111002061053
11,6739,4365,1747,627,0.64772221397833507,0.25923727556017212,0.093040510461492809
12,4667,3030,1193,444,0.64923934004713946,0.25562459824298267,0.095136061709877873
13,3532,2328,894,310,0.65911664779161949,0.25311438278595694,0.087768969422423557
14,2600,1700,665,235,0.65384615384615385,0.25576923076923075,0.090384615384615383
15,1938,1284,444,210,0.66253869969040247,0.22910216718266255,0.10835913312693499
16,1535,1012,408,115,0.65928338762214989,0.26579804560260584,0.0749185667752443
17,1268,794,349,125,0.62618296529968454,0.27523659305993692,0.098580441640378547
18,946,664,202,80,0.70190274841437628,0.21353065539112051,0.084566596194503171
19,778,512,198,68,0.65809768637532129,0.25449871465295631,0.087403598971722368
20,636,409,167,60,0.64308176100628933,0.26257861635220126,0.094339622641509441
21,541,337,165,39,0.62292051756007394,0.30499075785582253,0.072088724584103508
22,406,273,99,34,0.67241379310344829,0.24384236453201971,0.083743842364532015
23,376,233,103,40,0.61968085106382975,0.27393617021276595,0.10638297872340426
24,308,204,80,24,0.66233766233766234,0.25974025974025972,0.07792207792207792
25,289,185,70,34,0.64013840830449831,0.24221453287197231,0.11764705882352941
26,259,160,76,23,0.61776061776061775,0.29343629343629346,0.0888030888030888
27,224,145,60,19,0.6473214285714286,0.26785714285714285,0.084821428571428575
28,162,98,43,21,0.60493827160493829,0.26543209876543211,0.12962962962962962
29,154,99,40,15,0.6428571428571429,0.25974025974025972,0.097402597402597407
30,141,86,42,13,0.60992907801418439,0.2978723404255319,0.092198581560283682
31,158,101,43,14,0.63924050632911389,0.27215189873417722,0.088607594936708861
32,107,72,26,9,0.67289719626168221,0.24299065420560748,0.084112149532710276
33,120,88,22,10,0.73333333333333328,0.18333333333333332,0.083333333333333329
34,83,56,22,5,0.67469879518072284,0.26506024096385544,0.060240963855421686
35,67,34,23,10,0.5074626865671642,0.34328358208955223,0.14925373134328357
36,58,37,15,6,0.63793103448275867,0.25862068965517243,0.10344827586206896
37,43,27,13,3,0.627906976744186,0.30232558139534882,0.069767441860465115
38,41,30,7,4,0.73170731707317072,0.17073170731707318,0.0975609756097561
39,34,20,11,3,0.58823529411764708,0.3235294117647059,0.088235294117647065
40,32,23,9,0,0.71875,0.28125,0
41,24,16,8,0,0.66666666666666663,0.33333333333333331,0
42,20,10,5,5,0.5,0.25,0.25
43,11,8,1,2,0.72727272727272729,0.090909090909090912,0.18181818181818182
44,18,12,4,2,0.66666666666666663,0.22222222222222221,0.1111111111111111
45,22,15,4,3,0.68181818181818177,0.18181818181818182,0.13636363636363635
46,5,4,0,1,0.8,0,0.2
47,11,7,3,1,0.63636363636363635,0.27272727272727271,0.090909090909090912
48,10,5,4,1,0.5,0.4,0.1
49,10,8,2,0,0.8,0.2,0
50,14,12,1,1,0.8571428571428571,0.071428571428571425,0.071428571428571425
51,9,9,0,0,1,0,0
52,6,2,4,0,0.33333333333333331,0.66666666666666663,0
53,4,4,0,0,1,0,0
54,6,2,1,3,0.33333333333333331,0.16666666666666666,0.5
55,6,5,1,0,0.83333333333333337,0.16666666666666666,0
56,2,2,0,0,1,0,0
57,4,2,1,1,0.5,0.25,0.25
58,3,3,0,0,1,0,0
59,4,3,1,0,0.75,0.25,0
60,2,2,0,0,1,0,0
61,6,5,1,0,0.83333333333333337,0.16666666666666666,0
62,1,1,0,0,1,0,0
63,1,1,0,0,1,0,0
64,2,1,1,0,0.5,0.5,0
65,2,0,2,0,0,1,0
66,1,1,0,0,1,0,0
67,1,1,0,0,1,0,0
68,3,1,1,1,0.33333333333333331,0.33333333333333331,0.33333333333333331
70,1,1,0,0,1,0,0
71,3,1,1,1,0.33333333333333331,0.33333333333333331,0.33333333333333331
72,2,2,0,0,1,0,0
76,1,0,1,0,0,1,0
79,2,1,1,0,0.5,0.5,0
80,2,1,1,0,0.5,0.5,0
81,1,1,0,0,1,0,0
96,1,1,0,0,1,0,0
97,1,1,0,0,1,0,0
106,1,0,0,1,0,0,1
111,1,1,0,0,1,0,0
320,1,1,0,0,1,0,0
