month,q_a_diff_flag,total,retention28,over28,last,retention_rate
2019-08-01 00:00:00 UTC,no_answer,15889,1564,5883,8857,0.0984328780917616
2019-08-01 00:00:00 UTC,over_12hr_answer,16609,2425,6398,8288,0.14600517791558792
2019-08-01 00:00:00 UTC,within_12hr_answer,62833,20900,24174,24661,0.33262775929845784
2019-09-01 00:00:00 UTC,no_answer,16386,1766,5733,9280,0.10777492981813744
2019-09-01 00:00:00 UTC,over_12hr_answer,16750,2556,6274,8413,0.15259701492537314
2019-09-01 00:00:00 UTC,within_12hr_answer,62747,21380,23020,24713,0.34073342151816022
2019-10-01 00:00:00 UTC,no_answer,18501,1872,6317,10776,0.10118371979892979
2019-10-01 00:00:00 UTC,over_12hr_answer,18066,2719,6646,9242,0.15050370862393447
2019-10-01 00:00:00 UTC,within_12hr_answer,69157,23485,24749,28359,0.33958962939398757
2019-11-01 00:00:00 UTC,no_answer,17826,1871,5819,10622,0.10495904858072479
2019-11-01 00:00:00 UTC,over_12hr_answer,17518,2598,6127,9285,0.14830460098184725
2019-11-01 00:00:00 UTC,within_12hr_answer,67774,23067,23324,28718,0.34035175731106326
2019-12-01 00:00:00 UTC,no_answer,16307,1529,5406,9805,0.093763414484577173
2019-12-01 00:00:00 UTC,over_12hr_answer,15703,2261,5583,8320,0.14398522575304082
2019-12-01 00:00:00 UTC,within_12hr_answer,61332,19622,21925,26540,0.31993086806234916
2020-01-01 00:00:00 UTC,no_answer,18543,2035,5406,11544,0.10974491721943591
2020-01-01 00:00:00 UTC,over_12hr_answer,16833,2679,5380,9243,0.15915166636963107
2020-01-01 00:00:00 UTC,within_12hr_answer,66245,22976,21294,29043,0.34683372329987167
2020-02-01 00:00:00 UTC,no_answer,18912,2155,5223,12029,0.11394881556683586
2020-02-01 00:00:00 UTC,over_12hr_answer,16520,2605,5018,9355,0.15768765133171914
2020-02-01 00:00:00 UTC,within_12hr_answer,66026,22739,19711,30403,0.34439463241753249
2020-03-01 00:00:00 UTC,no_answer,21705,2519,5616,14193,0.11605620824694771
2020-03-01 00:00:00 UTC,over_12hr_answer,17661,2908,4857,10395,0.16465658796217655
2020-03-01 00:00:00 UTC,within_12hr_answer,69646,24610,19140,33056,0.35335841254343392
2020-04-01 00:00:00 UTC,no_answer,24573,2846,5302,17153,0.11581817441907785
2020-04-01 00:00:00 UTC,over_12hr_answer,19770,3260,4695,12384,0.16489630753667173
2020-04-01 00:00:00 UTC,within_12hr_answer,80220,29129,18813,41195,0.3631139366741461
2020-05-01 00:00:00 UTC,no_answer,32498,4279,5325,24055,0.13166964120868976
2020-05-01 00:00:00 UTC,over_12hr_answer,18947,3411,3664,12363,0.18002850055417743
2020-05-01 00:00:00 UTC,within_12hr_answer,82027,30783,15679,44512,0.37527887159106149
2020-06-01 00:00:00 UTC,no_answer,44909,5939,5391,35961,0.13224520697410319
2020-06-01 00:00:00 UTC,over_12hr_answer,17430,3406,2412,12030,0.19541021227768215
2020-06-01 00:00:00 UTC,within_12hr_answer,75678,29201,10882,43431,0.38585850577446551
2020-07-01 00:00:00 UTC,no_answer,43076,5354,2459,37440,0.12429194911319529
2020-07-01 00:00:00 UTC,over_12hr_answer,16170,3007,1126,12440,0.18596165739022882
2020-07-01 00:00:00 UTC,within_12hr_answer,73315,27574,5015,48472,0.37610311668826296
